,0
1682,490.1137
1683,490.1506
1684,490.1929
1685,490.2231
1686,490.3323
1687,491.1058
1688,491.2246
1689,491.2552
1690,491.2835
1691,491.328
1692,492.1686
1693,492.2252
1694,492.3406
1695,493.1804
1696,493.2012
1697,493.2267
1698,493.2813
1699,494.1687
1700,494.2229
1701,494.2476
1702,494.336
1703,495.2264
1704,495.2679
1705,495.3068
1706,496.1924
1707,496.222
1708,496.2615
1709,496.2866
1710,496.3429
1711,497.2326
1712,497.2805
1713,497.3041
1714,497.3381
1715,498.2304
1716,498.2711
1717,498.3068
1718,498.3543
1719,499.1343
1720,499.2005
1721,499.2382
1722,499.3074
1723,499.3513
1724,500.2098
1725,500.2265
1726,500.2732
1727,500.2985
1728,500.3236
1729,500.3575
1730,501.1401
1731,501.2322
1732,501.2775
1733,501.3322
1734,502.2305
1735,502.2714
1736,502.2911
1737,502.3294
1738,503.2054
1739,503.2403
1740,503.3355
1741,504.1598
1742,504.2083
1743,504.237
1744,504.2773
1745,504.3217
1746,504.3524
1747,505.1278
1748,505.2388
1749,505.2894
1750,505.314
1751,505.3644
1752,506.1391
1753,506.2328
1754,506.3261
1755,506.3527
1756,507.2268
1757,507.2604
1758,507.2894
1759,507.3288
1760,508.2158
1761,508.2416
1762,508.3446
1763,509.2
1764,509.272
1765,509.2904
1766,509.3201
1767,509.3546
1768,510.2067
1769,510.2443
1770,510.2983
1771,510.3477
1772,511.2454
1773,511.3104
1774,511.3769
1775,511.4715
1776,512.2418
1777,512.3259
1778,512.4727
1779,513.2868
1780,514.2765
1781,514.3378
1782,514.3678
1783,515.292
1784,515.3351
1785,516.14
1786,516.2487
1787,516.2764
1788,516.3438
1789,517.1625
1790,517.2536
1791,517.2965
1792,517.3366
1793,518.2873
1794,518.3208
1795,519.1371
1796,519.2977
1797,519.3148
1798,519.362
1799,520.2767
1800,520.3085
1801,520.3444
1802,521.1282
1803,521.264
1804,521.3443
1805,522.2697
1806,522.318
1807,522.3672
1808,523.224
1809,523.254
1810,523.3346
1811,523.3611
1812,524.2764
1813,524.3444
1814,525.1627
1815,525.2604
1816,525.2951
1817,525.3407
1818,525.3658
1819,526.2511
1820,526.3323
1821,526.3666
1822,527.1486
1823,527.2184
1824,527.2575
1825,527.2868
1826,527.3411
1827,528.225
1828,528.2881
1829,528.3276
1830,528.3584
1831,529.3007
1832,529.3417
1833,529.3768
1834,530.1574
1835,530.2614
1836,530.292
1837,530.3446
1838,531.2662
1839,531.3092
1840,531.349
1841,531.3766
1842,532.2283
1843,532.3423
1844,533.2667
1845,533.3369
1846,533.3864
1847,534.2881
1848,534.3506
1849,534.3776
1850,535.2183
1851,535.2736
1852,535.3517
1853,535.3837
1854,536.2689
1855,536.3077
1856,536.3458
1857,536.4971
1858,537.2668
1859,537.3497
1860,537.3845
1861,537.4888
1862,538.2315
1863,538.2704
1864,538.3424
1865,538.3828
1866,539.2448
1867,539.2769
1868,539.5057
1869,540.2329
1870,540.2682
1871,540.3469
1872,540.381
1873,540.5074
1874,541.2744
1875,541.3466
1876,541.3833
1877,542.2665
1878,542.3482
1879,543.2757
1880,543.3195
1881,543.3502
1882,544.2709
1883,544.302
1884,544.3485
1885,544.4501
1886,545.2123
1887,545.28
1888,545.3158
1889,545.3485
1890,545.4539
1891,546.1571
1892,546.2277
1893,546.2442
1894,546.2746
